id,homepage,domain,url_search_string,label,notes,platform,pub_country,pub_state,media_type,stories_per_week,first_story,primary_language
259428,http://caravanmagazine.in/,caravanmagazine.in,,caravanmagazine.in,,online_news,IND,,print_native,,,en
262124,http://niticentral.com/,niticentral.com,,niticentral.com,,online_news,,,,,,
262319,https://www.amarujala.com/,amarujala.com,,amarujala.com,,online_news,IND,IN-DL,print_native,19839,,hi
262325,http://assamtribune.com/,assamtribune.com,,assamtribune.com,,online_news,IND,IN-AS,print_native,233,,en
262387,http://legallyindia.com/,legallyindia.com,,legallyindia.com,,online_news,,,,1,,en
262590,http://newslaundry.com/,newslaundry.com,,newslaundry.com,,online_news,IND,,digital_native,51,,en
263554,http://btvin.com/,btvin.com,,btvin.com,,online_news,IND,,video_broadcast,18,,en
263766,http://exchange4media.com/,exchange4media.com,,exchange4media.com,,online_news,IND,,digital_native,,,en
271153,http://www.businessworld.in/,businessworld.in,,"BW Businessworld – Indian Business News, Opinion, Analysis",,online_news,IND,,print_native,432,,en
271156,http://www.dailythanthi.com/,dailythanthi.com,,Daily Thanthi: Tamil News | Tamilnadu News | Latest Tamil News,,online_news,IND,IN-TN,print_native,1099,,ta
271157,http://www.jagran.com/,jagran.com,,"Dainik Jagran:Hindi News,Latest News in Hindi,News in Hindi,Hindi News Paper",,online_news,IND,IN-UP,print_native,2380,,hi
271158,http://www.dinakaran.com/,dinakaran.com,,Dinakaran,,online_news,IND,IN-TN,print_native,63,,ta
271159,http://www.eenadu.net/,eenadu.net,,EENADU Online Edition - Telugu news paper,,online_news,IND,IN-AP,print_native,,,te
271162,http://livehindustan.com,livehindustan.com,,livehindustan.com,,online_news,IND,IN-DL,print_native,169,,hi
271168,http://www.newsx.com/,newsx.com,,NewsX,,online_news,IND,,video_broadcast,899,,en
271169,https://www.patrika.com/rajasthan-news,patrika.com,,Rajasthan Patrika,,online_news,IND,IN-RJ,print_native,6077,,hi
271170,http://www.dailypioneer.com/,dailypioneer.com,,Daily Pioneer,,online_news,IND,IN-DL,print_native,,,en
271589,http://www.india.com/,india.com,,India | Latest India News | Get Free India.com Email | Live Cricket and Entertainment News at India.Com,,online_news,IND,,,5208,,en
